"These hex codes can be used in csv/xlsx files and markup files.  Append a ';' at the end of the hex code in your data. Ex:  ""Show me the &#x0024;&#x0024;&@#x0021;"" ==> ""Show me the $$!""",,
key,hex,name
&#x25c2,&#x25C2,black left-pointing small triangle
&#x25c3,&#x25C3,white left-pointing small triangle
&#x25c4,&#x25C4,black left-pointing pointer
&#x25c5,&#x25C5,white left-pointing pointer
&#x25c6,&#x25C6,black diamond
&#x25c7,&#x25C7,white diamond
&#x25c8,&#x25C8,white diamond containing black small diamond
&#x25c9,&#x25C9,fisheye
&#x25ca,&#x25CA,lozenge
&#x25cb,&#x25CB,white circle
&#x25cc,&#x25CC,dotted circle
&#x25cd,&#x25CD,circle with vertical fill
&#x25ce,&#x25CE,bullseye
&#x25cf,&#x25CF,black circle
&#x25d0,&#x25D0,circle with left half black
&#x25d1,&#x25D1,circle with right half black
&#x25d2,&#x25D2,circle with lower half black
&#x25d3,&#x25D3,circle with upper half black
&#x25d4,&#x25D4,circle with upper right quadrant black
&#x25d5,&#x25D5,circle with all but upper left quadrant black
&#x25d6,&#x25D6,left half black circle
&#x25d7,&#x25D7,right half black circle
&#x25d8,&#x25D8,inverse bullet
&#x25d9,&#x25D9,inverse white circle
&#x25da,&#x25DA,upper half inverse white circle
&#x25db,&#x25DB,lower half inverse white circle
&#x25dc,&#x25DC,upper left quadrant circular arc
&#x25dd,&#x25DD,upper right quadrant circular arc
&#x25de,&#x25DE,lower right quadrant circular arc
&#x25df,&#x25DF,lower left quadrant circular arc
&#x25e0,&#x25E0,upper half circle
&#x25e1,&#x25E1,lower half circle
&#x25e2,&#x25E2,black lower right triangle
&#x25e3,&#x25E3,black lower left triangle
&#x25e4,&#x25E4,black upper left triangle
&#x25e5,&#x25E5,black upper right triangle
&#x25e6,&#x25E6,white bullet
&#x25e7,&#x25E7,square with left half black
&#x25e8,&#x25E8,square with right half black
&#x25e9,&#x25E9,square with upper left diagonal half black
&#x25ea,&#x25EA,square with lower right diagonal half black
&#x25eb,&#x25EB,white square with vertical bisecting line
&#x25ec,&#x25EC,white up-pointing triangle with dot
&#x25ed,&#x25ED,up-pointing triangle with left half black
&#x25ee,&#x25EE,up-pointing triangle with right half black
&#x25ef,&#x25EF,large circle
&#x25f0,&#x25F0,white square with upper left quadrant
&#x25f1,&#x25F1,white square with lower left quadrant
&#x25f2,&#x25F2,white square with lower right quadrant
&#x25f3,&#x25F3,white square with upper right quadrant
&#x25f4,&#x25F4,white circle with upper left quadrant
&#x25f5,&#x25F5,white circle with lower left quadrant
&#x25f6,&#x25F6,white circle with lower right quadrant
&#x25f7,&#x25F7,white circle with upper right quadrant
&#x25f8,&#x25F8,upper left triangle
&#x25f9,&#x25F9,upper right triangle
&#x25fa,&#x25FA,lower left triangle
&#x25fb,&#x25FB,white medium square
&#x25fc,&#x25FC,black medium square
&#x25fd,&#x25FD,white medium small square
&#x25fe,&#x25FE,black medium small square
&#x25ff,&#x25FF,lower right triangle
&#x2600,&#x2600,black sun with rays
&#x2601,&#x2601,cloud
&#x2602,&#x2602,umbrella
&#x2603,&#x2603,snowman
&#x2604,&#x2604,comet
&#x2605,&#x2605,black star
&#x2606,&#x2606,white star
&#x2607,&#x2607,lightning
&#x2608,&#x2608,thunderstorm
&#x2609,&#x2609,sun
&#x260a,&#x260A,ascending node
&#x260b,&#x260B,descending node
&#x260c,&#x260C,conjunction
&#x260d,&#x260D,opposition
&#x260e,&#x260E,black telephone
&#x260f,&#x260F,white telephone
&#x2610,&#x2610,ballot box
&#x2611,&#x2611,ballot box with check
&#x2612,&#x2612,ballot box with x
&#x2613,&#x2613,saltire
&#x2614,&#x2614,umbrella with rain drops
&#x2615,&#x2615,hot beverage
&#x2616,&#x2616,white shogi piece
&#x2617,&#x2617,black shogi piece
&#x2618,&#x2618,shamrock
&#x2619,&#x2619,reversed rotated floral heart bullet
&#x261a,&#x261A,black left pointing index
&#x261b,&#x261B,black right pointing index
&#x261c,&#x261C,white left pointing index
&#x261d,&#x261D,white up pointing index
&#x261e,&#x261E,white right pointing index
&#x261f,&#x261F,white down pointing index
&#x2620,&#x2620,skull and crossbones (poison)
&#x2621,&#x2621,caution sign
&#x2622,&#x2622,radioactive sign
&#x2623,&#x2623,biohazard sign
&#x2624,&#x2624,caduceus
&#x2625,&#x2625,ankh
&#x2626,&#x2626,orthodox cross
&#x2627,&#x2627,chi rho
&#x2628,&#x2628,cross of lorraine
&#x2629,&#x2629,cross of jerusalem
&#x262a,&#x262A,star and crescent
&#x262b,&#x262B,farsi symbol
&#x262c,&#x262C,adi shakti
&#x262d,&#x262D,hammer and sickle
&#x262e,&#x262E,peace symbol
&#x262f,&#x262F,yin yang
&#x2630,&#x2630,trigram for heaven
&#x2631,&#x2631,trigram for lake
&#x2632,&#x2632,trigram for fire
&#x2633,&#x2633,trigram for thunder
&#x2634,&#x2634,trigram for wind
&#x2635,&#x2635,trigram for water
&#x2636,&#x2636,trigram for mountain
&#x2637,&#x2637,trigram for earth
&#x2638,&#x2638,wheel of dharma
&#x2639,&#x2639,white frowning face
&#x263a,&#x263A,white smiling face
&#x263b,&#x263B,black smiling face
&#x263c,&#x263C,white sun with rays
&#x263d,&#x263D,first quarter moon
&#x263e,&#x263E,last quarter moon
&#x263f,&#x263F,mercury
&#x2640,&#x2640,female sign
&#x2641,&#x2641,earth
&#x2642,&#x2642,male sign
&#x2643,&#x2643,jupiter
&#x2644,&#x2644,saturn
&#x2645,&#x2645,uranus
&#x2646,&#x2646,neptune
&#x2647,&#x2647,pluto
&#x2648,&#x2648,aries
&#x2649,&#x2649,taurus
&#x264a,&#x264A,gemini
&#x264b,&#x264B,cancer
&#x264c,&#x264C,leo
&#x264d,&#x264D,virgo
&#x264e,&#x264E,libra
&#x264f,&#x264F,scorpius
&#x2650,&#x2650,sagittarius
&#x2651,&#x2651,capricorn
&#x2652,&#x2652,aquarius
&#x2653,&#x2653,pisces
&#x2654,&#x2654,white chess king
&#x2655,&#x2655,white chess queen
&#x2656,&#x2656,white chess rook
&#x2657,&#x2657,white chess bishop
&#x2658,&#x2658,white chess knight
&#x2659,&#x2659,white chess pawn
&#x265a,&#x265A,black chess king
&#x265b,&#x265B,black chess queen
&#x265c,&#x265C,black chess rook
&#x265d,&#x265D,black chess bishop
&#x265e,&#x265E,black chess knight
&#x265f,&#x265F,black chess pawn
&#x2660,&#x2660,black spade suit
&#x2661,&#x2661,white heart suit
&#x2662,&#x2662,white diamond suit
&#x2663,&#x2663,black club suit
&#x2664,&#x2664,white spade suit
&#x2665,&#x2665,black heart suit
&#x2666,&#x2666,black diamond suit
&#x2667,&#x2667,white club suit
&#x2668,&#x2668,hot springs
&#x2669,&#x2669,quarter note
&#x266a,&#x266A,eighth note
&#x266b,&#x266B,beamed eighth notes
&#x266c,&#x266C,beamed sixteenth notes
&#x266d,&#x266D,music flat sign
&#x266e,&#x266E,music natural sign
&#x266f,&#x266F,music sharp sign
&#x2672,&#x2672,universal recycling symbol
&#x2673,&#x2673,recycling symbol for type-1 plastics
&#x2674,&#x2674,recycling symbol for type-2 plastics
&#x2675,&#x2675,recycling symbol for type-3 plastics
&#x2676,&#x2676,recycling symbol for type-4 plastics
&#x2677,&#x2677,recycling symbol for type-5 plastics
&#x2678,&#x2678,recycling symbol for type-6 plastics
&#x2679,&#x2679,recycling symbol for type-7 plastics
&#x267a,&#x267A,recycling symbol for generic materials
&#x267b,&#x267B,black universal recycling symbol
&#x267c,&#x267C,recycled paper symbol
&#x267d,&#x267D,partially-recycled paper symbol
&#x267e,&#x267E,permanent paper sign
&#x267f,&#x267F,wheelchair symbol
&#x2680,&#x2680,die face-1
&#x2681,&#x2681,die face-2
&#x2682,&#x2682,die face-3
&#x2683,&#x2683,die face-4
&#x2684,&#x2684,die face-5
&#x2685,&#x2685,die face-6
&#x2690,&#x2690,white flag
&#x2691,&#x2691,black flag
&#x2692,&#x2692,hammer and pick
&#x2693,&#x2693,anchor
&#x2694,&#x2694,crossed swords
&#x2695,&#x2695,staff of aesculapius
&#x2696,&#x2696,scales
&#x2697,&#x2697,alembic
&#x2698,&#x2698,flower
&#x2699,&#x2699,gear
&#x269a,&#x269A,staff of hermes
&#x269b,&#x269B,atom symbol
&#x269c,&#x269C,fleur-de-lis
&#x269d,&#x269D,outlined white star
&#x269e,&#x269E,three lines converging right
&#x269f,&#x269F,three lines converging left
&#x26a0,&#x26A0,warning sign
&#x26a1,&#x26A1,high voltage sign
&#x26a2,&#x26A2,doubled female sign
&#x26a3,&#x26A3,doubled male sign
&#x26a4,&#x26A4,interlocked female and male sign
&#x26a5,&#x26A5,male and female sign
&#x26a6,&#x26A6,male with stroke sign
&#x26a7,&#x26A7,male with stroke and male and female sign
&#x26a8,&#x26A8,vertical male with stroke sign
&#x26a9,&#x26A9,horizontal male with stroke sign
&#x26aa,&#x26AA,medium white circle
&#x26ab,&#x26AB,medium black circle
&#x26ac,&#x26AC,medium small white circle
&#x26ad,&#x26AD,marriage symbol
&#x26ae,&#x26AE,divorce symbol
&#x26af,&#x26AF,unmarried partnership symbol
&#x26b0,&#x26B0,coffin
&#x26b1,&#x26B1,funeral urn
&#x26b2,&#x26B2,neuter
&#x26b3,&#x26B3,ceres
&#x26b4,&#x26B4,pallas
&#x26b5,&#x26B5,juno
&#x26b6,&#x26B6,vesta
&#x26b7,&#x26B7,chiron
&#x26b8,&#x26B8,black moon lilith
&#x26b9,&#x26B9,sextile
&#x26ba,&#x26BA,semisextile
&#x26bb,&#x26BB,quincunx
&#x26bc,&#x26BC,sesquiquadrate
&#x26c0,&#x26C0,white draughts man
&#x26c1,&#x26C1,white draughts king
&#x26c2,&#x26C2,black draughts man
&#x26c3,&#x26C3,black draughts king
&#x26e2,&#x26E2,astronomical symbol for uranus
&#x26e4,&#x26E4,pentagram
&#x26e5,&#x26E5,right-handed interlaced pentagram
&#x26e6,&#x26E6,left-handed interlaced pentagram
&#x26e7,&#x26E7,inverted pentagram
&#x26e8,&#x26E8,black cross on shield
&#x26e9,&#x26E9,shinto shrine
&#x26ea,&#x26EA,church
&#x26eb,&#x26EB,castle
&#x26ec,&#x26EC,historic site
&#x26ed,&#x26ED,gear without hub
&#x26ee,&#x26EE,gear with handles
&#x26ef,&#x26EF,map symbol for lighthouse
&#x26f0,&#x26F0,mountain
&#x26f1,&#x26F1,umbrella on ground
&#x26f2,&#x26F2,fountain
&#x26f3,&#x26F3,flag in hole
&#x26f4,&#x26F4,ferry
&#x26f5,&#x26F5,sailboat
&#x26f6,&#x26F6,square four corners
&#x26f7,&#x26F7,skier
&#x26f8,&#x26F8,ice skate
&#x26f9,&#x26F9,person with ball
&#x26fa,&#x26FA,tent
&#x26fb,&#x26FB,japanese bank symbol
&#x26fc,&#x26FC,headstone graveyard symbol
&#x26fd,&#x26FD,fuel pump
&#x26fe,&#x26FE,cup on black square
&#x26ff,&#x26FF,white flag with horizontal middle black stripe
&#x2701,&#x2701,upper blade scissors
&#x2702,&#x2702,black scissors
&#x2703,&#x2703,lower blade scissors
&#x2704,&#x2704,white scissors
&#x2705,&#x2705,white heavy check mark - ok symbol (accepted mark)
&#x2706,&#x2706,telephone location sign
&#x2707,&#x2707,tape drive
&#x2708,&#x2708,airplane
&#x2709,&#x2709,envelope
&#x270a,&#x270A,raised fist
&#x270b,&#x270B,raised hand
&#x270c,&#x270C,victory hand
&#x270d,&#x270D,writing hand
&#x270e,&#x270E,lower right pencil
&#x270f,&#x270F,pencil
&#x2710,&#x2710,upper right pencil
&#x2711,&#x2711,white nib
&#x2712,&#x2712,black nib
&#x2713,&#x2713,check mark
&#x2714,&#x2714,heavy check mark
&#x2715,&#x2715,multiplication x
&#x2716,&#x2716,heavy multiplication x
&#x2717,&#x2717,ballot x
&#x2718,&#x2718,heavy ballot x
&#x2719,&#x2719,outlined greek cross
&#x271a,&#x271A,heavy greek cross
&#x271b,&#x271B,open centre cross
&#x271c,&#x271C,heavy open centre cross
&#x271d,&#x271D,latin cross
&#x271e,&#x271E,shadowed white latin cross
&#x271f,&#x271F,outlined latin cross
&#x2720,&#x2720,maltese cross
&#x2721,&#x2721,star of david
&#x2722,&#x2722,four teardrop-spoked asterisk
&#x2723,&#x2723,four balloon-spoked asterisk
&#x2724,&#x2724,heavy four balloon-spoked asterisk
&#x2725,&#x2725,four club-spoked asterisk
&#x2726,&#x2726,black four pointed star
&#x2727,&#x2727,white four pointed star
&#x2728,&#x2728,sparkles
&#x2729,&#x2729,stress outlined white star
&#x272a,&#x272A,circled white star
&#x272b,&#x272B,open centre black star
&#x272c,&#x272C,black centre white star
&#x272d,&#x272D,outlined black star
&#x272e,&#x272E,heavy outlined black star
&#x272f,&#x272F,pinwheel star
&#x2730,&#x2730,shadowed white star
&#x2731,&#x2731,heavy asterisk
&#x2732,&#x2732,open centre asterisk
&#x2733,&#x2733,eight spoked asterisk
&#x2734,&#x2734,eight pointed black star
&#x2735,&#x2735,eight pointed pinwheel star
&#x2736,&#x2736,six pointed black star
&#x2737,&#x2737,eight pointed rectilinear black star
&#x2738,&#x2738,heavy eight pointed rectilinear black star
&#x2739,&#x2739,twelve pointed black star
&#x273a,&#x273A,sixteen pointed asterisk
&#x273b,&#x273B,teardrop-spoked asterisk
&#x273c,&#x273C,open centre teardrop-spoked asterisk
&#x273d,&#x273D,heavy teardrop-spoked asterisk
&#x273e,&#x273E,six petalled black and white florette
&#x273f,&#x273F,black florette
&#x2740,&#x2740,white florette
&#x2741,&#x2741,eight petalled outlined black florette
&#x2742,&#x2742,circled open centre eight pointed star
&#x2743,&#x2743,heavy teardrop-spoked pinwheel asterisk
&#x2744,&#x2744,snowflake
&#x2745,&#x2745,tight trifoliate snowflake
&#x2746,&#x2746,heavy chevron snowflake
&#x2747,&#x2747,sparkle
&#x2748,&#x2748,heavy sparkle
&#x2749,&#x2749,balloon-spoked asterisk
&#x274a,&#x274A,eight teardrop-spoked propeller asterisk
&#x274b,&#x274B,heavy eight teardrop-spoked propeller asterisk
&#x274c,&#x274C,cross mark
&#x274d,&#x274D,shadowed white circle
&#x274e,&#x274E,negative squared cross mark
&#x274f,&#x274F,lower right drop-shadowed white square
&#x2750,&#x2750,upper right drop-shadowed white square
&#x2751,&#x2751,lower right shadowed white square
&#x2752,&#x2752,upper right shadowed white square
&#x2753,&#x2753,black question mark ornament
&#x2754,&#x2754,white question mark ornament
&#x2755,&#x2755,white exclamation mark ornament
&#x2756,&#x2756,black diamond minus white x
&#x2757,&#x2757,heavy exclamation mark symbol
&#x2758,&#x2758,light vertical bar
&#x2759,&#x2759,medium vertical bar
&#x275a,&#x275A,heavy vertical bar
&#x275b,&#x275B,heavy single turned comma quotation mark ornament
&#x275c,&#x275C,heavy single comma quotation mark ornament
&#x275d,&#x275D,heavy double turned comma quotation mark ornament
&#x275e,&#x275E,heavy double comma quotation mark ornament
&#x275f,&#x275F,heavy low single comma quotation mark ornament
&#x2760,&#x2760,heavy low double comma quotation mark ornament
&#x2761,&#x2761,curved stem paragraph sign ornament
&#x2762,&#x2762,heavy exclamation mark ornament
&#x2763,&#x2763,heavy heart exclamation mark ornament
&#x2764,&#x2764,heavy black heart
&#x2765,&#x2765,rotated heavy black heart bullet
&#x2766,&#x2766,floral heart
&#x2767,&#x2767,rotated floral heart bullet
&#x2794,&#x2794,heavy wide-headed rightwards arrow
&#x2798,&#x2798,heavy south east arrow
&#x2799,&#x2799,heavy rightwards arrow
&#x279a,&#x279A,heavy north east arrow
&#x279b,&#x279B,drafting point rightwards arrow
&#x279c,&#x279C,heavy round-tipped rightwards arrow
&#x279d,&#x279D,triangle-headed rightwards arrow
&#x279e,&#x279E,heavy triangle-headed rightwards arrow
&#x279f,&#x279F,dashed triangle-headed rightwards arrow
&#x27a0,&#x27A0,heavy dashed triangle-headed rightwards arrow
&#x27a1,&#x27A1,black rightwards arrow
&#x27a2,&#x27A2,three-d top-lighted rightwards arrowhead
&#x27a3,&#x27A3,three-d bottom-lighted rightwards arrowhead
&#x27a4,&#x27A4,black rightwards arrowhead
&#x27a5,&#x27A5,heavy black curved downwards and rightwards arrow
&#x27a6,&#x27A6,heavy black curved upwards and rightwards arrow
&#x27a7,&#x27A7,squat black rightwards arrow
&#x27a8,&#x27A8,heavy concave-pointed black rightwards arrow
&#x27a9,&#x27A9,right-shaded white rightwards arrow
&#x27aa,&#x27AA,left-shaded white rightwards arrow
&#x27ab,&#x27AB,back-tilted shadowed white rightwards arrow
&#x27ac,&#x27AC,front-tilted shadowed white rightwards arrow
&#x27ad,&#x27AD,heavy lower right-shadowed white rightwards arrow
&#x27ae,&#x27AE,heavy upper right-shadowed white rightwards arrow
&#x27af,&#x27AF,notched lower right-shadowed white rightwards arrow
&#x27b1,&#x27B1,notched upper right-shadowed white rightwards arrow
&#x27b2,&#x27B2,circled heavy white rightwards arrow
&#x27b3,&#x27B3,white-feathered rightwards arrow
&#x27b4,&#x27B4,black-feathered south east arrow
&#x27b5,&#x27B5,black-feathered rightwards arrow
&#x27b6,&#x27B6,black-feathered north east arrow
&#x27b7,&#x27B7,heavy black-feathered south east arrow
&#x27b8,&#x27B8,heavy black-feathered rightwards arrow
&#x27b9,&#x27B9,heavy black-feathered north east arrow
&#x27ba,&#x27BA,teardrop-barbed rightwards arrow
&#x27bb,&#x27BB,heavy teardrop-shanked rightwards arrow
&#x27bc,&#x27BC,wedge-tailed rightwards arrow
&#x27bd,&#x27BD,heavy wedge-tailed rightwards arrow
&#x27be,&#x27BE,open-outlined rightwards arrow
&#x27f0,&#x27F0,upwards quadruple arrow
&#x27f1,&#x27F1,downwards quadruple arrow
&#x27f2,&#x27F2,anticlockwise gapped circle arrow
&#x27f3,&#x27F3,clockwise gapped circle arrow
&#x27f4,&#x27F4,right arrow with circled plus
&#x27f5,&#x27F5,long leftwards arrow
&#x27f6,&#x27F6,long rightwards arrow
&#x27f7,&#x27F7,long left right arrow
&#x27f8,&#x27F8,long leftwards double arrow
&#x27f9,&#x27F9,long rightwards double arrow
&#x27fa,&#x27FA,long left right double arrow
&#x27fb,&#x27FB,long leftwards arrow from bar
&#x27fc,&#x27FC,long rightwards arrow from bar
&#x27fd,&#x27FD,long leftwards double arrow from bar
&#x27fe,&#x27FE,long rightwards double arrow from bar
&#x27ff,&#x27FF,long rightwards squiggle arrow
&#x2900,&#x2900,rightwards two-headed arrow with vertical stroke
&#x2901,&#x2901,rightwards two-headed arrow with double vertical stroke
&#x2902,&#x2902,leftwards double arrow with vertical stroke
&#x2903,&#x2903,rightwards double arrow with vertical stroke
&#x2904,&#x2904,left right double arrow with vertical stroke
&#x2905,&#x2905,rightwards two-headed arrow from bar
&#x2906,&#x2906,leftwards double arrow from bar
&#x2907,&#x2907,rightwards double arrow from bar
&#x2908,&#x2908,downwards arrow with horizontal stroke
&#x2909,&#x2909,upwards arrow with horizontal stroke
&#x290a,&#x290A,upwards triple arrow
&#x290b,&#x290B,downwards triple arrow
&#x290c,&#x290C,leftwards double dash arrow
&#x290d,&#x290D,rightwards double dash arrow
&#x290e,&#x290E,leftwards triple dash arrow
&#x290f,&#x290F,rightwards triple dash arrow
&#x2910,&#x2910,rightwards two-headed triple dash arrow
&#x2911,&#x2911,rightwards arrow with dotted stem
&#x2912,&#x2912,upwards arrow to bar
&#x2913,&#x2913,downwards arrow to bar
&#x2914,&#x2914,rightwards arrow with tail with vertical stroke
&#x2915,&#x2915,rightwards arrow with tail with double vertical stroke
&#x2916,&#x2916,rightwards two-headed arrow with tail
&#x2917,&#x2917,rightwards two-headed arrow with tail with vertical stroke
&#x2918,&#x2918,rightwards two-headed arrow with tail with double vertical stroke
&#x2919,&#x2919,leftwards arrow-tail
&#x291a,&#x291A,rightwards arrow-tail
&#x291b,&#x291B,leftwards double arrow-tail
&#x291c,&#x291C,rightwards double arrow-tail
&#x291d,&#x291D,leftwards arrow to black diamond
&#x291e,&#x291E,rightwards arrow to black diamond
&#x291f,&#x291F,leftwards arrow from bar to black diamond
&#x2920,&#x2920,rightwards arrow from bar to black diamond
&#x2921,&#x2921,north west and south east arrow
&#x2922,&#x2922,north east and south west arrow
&#x2923,&#x2923,north west arrow with hook
&#x2924,&#x2924,north east arrow with hook
&#x2925,&#x2925,south east arrow with hook
&#x2926,&#x2926,south west arrow with hook
&#x2927,&#x2927,north west arrow and north east arrow
&#x2928,&#x2928,north east arrow and south east arrow
&#x2929,&#x2929,south east arrow and south west arrow
&#x292a,&#x292A,south west arrow and north west arrow
&#x292b,&#x292B,rising diagonal crossing falling diagonal
&#x292c,&#x292C,falling diagonal crossing rising diagonal
&#x292d,&#x292D,south east arrow crossing north east arrow
&#x292e,&#x292E,north east arrow crossing south east arrow
&#x292f,&#x292F,falling diagonal crossing north east arrow
&#x2930,&#x2930,rising diagonal crossing south east arrow
&#x2931,&#x2931,north east arrow crossing north west arrow
&#x2932,&#x2932,north west arrow crossing north east arrow
&#x2933,&#x2933,wave arrow pointing directly right
&#x2934,&#x2934,arrow pointing rightwards then curving upwards
&#x2935,&#x2935,arrow pointing rightwards then curving downwards
&#x2936,&#x2936,arrow pointing downwards then curving leftwards
&#x2937,&#x2937,arrow pointing downwards then curving rightwards
&#x2938,&#x2938,right-side arc clockwise arrow
&#x2939,&#x2939,left-side arc anticlockwise arrow
&#x293a,&#x293A,top arc anticlockwise arrow
&#x293b,&#x293B,bottom arc anticlockwise arrow
&#x293c,&#x293C,top arc clockwise arrow with minus
&#x293d,&#x293D,top arc anticlockwise arrow with plus
&#x293e,&#x293E,lower right semicircular clockwise arrow
&#x293f,&#x293F,lower left semicircular anticlockwise arrow
&#x2940,&#x2940,anticlockwise closed circle arrow
&#x2941,&#x2941,clockwise closed circle arrow
&#x2942,&#x2942,rightwards arrow above short leftwards arrow
&#x2943,&#x2943,leftwards arrow above short rightwards arrow
&#x2944,&#x2944,short rightwards arrow above leftwards arrow
&#x2945,&#x2945,rightwards arrow with plus below
&#x2946,&#x2946,leftwards arrow with plus below
&#x2947,&#x2947,rightwards arrow through x
&#x2948,&#x2948,left right arrow through small circle
&#x2949,&#x2949,upwards two-headed arrow from small circle
&#x294a,&#x294A,left barb up right barb down harpoon
&#x294b,&#x294B,left barb down right barb up harpoon
&#x294c,&#x294C,up barb right down barb left harpoon
&#x294d,&#x294D,up barb left down barb right harpoon
&#x294e,&#x294E,left barb up right barb up harpoon
&#x294f,&#x294F,up barb right down barb right harpoon
&#x2950,&#x2950,left barb down right barb down harpoon
&#x2951,&#x2951,up barb left down barb left harpoon
&#x2b00,&#x2B00,north east white arrow
&#x2b01,&#x2B01,north west white arrow
&#x2b02,&#x2B02,south east white arrow
&#x2b03,&#x2B03,south west white arrow
&#x2b04,&#x2B04,left right white arrow
&#x2b05,&#x2B05,leftwards black arrow
&#x2b06,&#x2B06,upwards black arrow
&#x2b07,&#x2B07,downwards black arrow
&#x2b08,&#x2B08,north east black arrow
&#x2b09,&#x2B09,north west black arrow
&#x2b0a,&#x2B0A,south east black arrow
&#x2b0b,&#x2B0B,south west black arrow
&#x2b0c,&#x2B0C,left right black arrow
&#x2b0d,&#x2B0D,up down black arrow
&#x2b0e,&#x2B0E,rightwards arrow with tip downwards
&#x2b0f,&#x2B0F,rightwards arrow with tip upwards
&#x2b10,&#x2B10,leftwards arrow with tip downwards
&#x2b11,&#x2B11,leftwards arrow with tip upwards
&#x2b12,&#x2B12,square with top half black
&#x2b13,&#x2B13,square with bottom half black
&#x2b14,&#x2B14,square with upper right diagonal half black
&#x2b15,&#x2B15,square with lower left diagonal half black
&#x2b16,&#x2B16,diamond with left half black
&#x2b17,&#x2B17,diamond with right half black
&#x2b18,&#x2B18,diamond with top half black
&#x2b19,&#x2B19,diamond with bottom half black
&#x2b1a,&#x2B1A,dotted square
&#x2c60,&#x2C60,latin capital letter l with double bar
&#x2c61,&#x2C61,latin small letter l with double bar
&#x2c63,&#x2C63,latin capital letter p with stroke
&#x2c65,&#x2C65,latin small letter a with stroke
&#x2c66,&#x2C66,latin small letter t with diagonal stroke
&#x2c6d,&#x2C6D,latin capital letter alpha
&#x2c6f,&#x2C6F,latin capital letter turned a
&#x2c70,&#x2C70,latin capital letter turned alpha
&#x2e22,&#x2E22,top left half bracket
&#x2e23,&#x2E23,top right half bracket
&#x2e24,&#x2E24,bottom left half bracket
&#x2e25,&#x2E25,bottom right half bracket
&#x2e2e,&#x2E2E,reversed question mark
&#x3003,&#x3003,ditto mark
&#x3004,&#x3004,japanese industrial standard symbol
&#xfb00,&#xFB00,latin small ligature ff
&#xfb01,&#xFB01,latin small ligature fi
&#xfb02,&#xFB02,latin small ligature fl
&#xfb03,&#xFB03,latin small ligature ffi
&#xfb04,&#xFB04,latin small ligature ffl
&#xfb05,&#xFB05,latin small ligature long s t
&#xfb06,&#xFB06,latin small ligature st
&#xfd3e,&#xFD3E,ornate left parenthesis
&#xfd3f,&#xFD3F,ornate right parenthesis
&#xfdfc,&#xFDFC,rial sign
&#xfe10,&#xFE10,presentation form for vertical comma
&#xfe11,&#xFE11,presentation form for vertical ideographic comma
&#xfe12,&#xFE12,presentation form for vertical ideographic full stop
&#xfe13,&#xFE13,presentation form for vertical colon
&#xfe14,&#xFE14,presentation form for vertical semicolon
&#xfe15,&#xFE15,presentation form for vertical exclamation mark
&#xfe16,&#xFE16,presentation form for vertical question mark
&#xfe17,&#xFE17,presentation form for vertical left white lenticular bracket
&#xfe18,&#xFE18,presentation form for vertical right white lenticular brakcet
&#xfe19,&#xFE19,presentation form for vertical horizontal ellipsis
&#xfe30,&#xFE30,presentation form for vertical two dot leader
&#xfe31,&#xFE31,presentation form for vertical em dash
&#xfe32,&#xFE32,presentation form for vertical en dash
&#xfe33,&#xFE33,presentation form for vertical low line
&#xfe34,&#xFE34,presentation form for vertical wavy low line
&#xfe35,&#xFE35,presentation form for vertical left parenthesis
&#xfe36,&#xFE36,presentation form for vertical right parenthesis
&#xfe37,&#xFE37,presentation form for vertical left curly bracket
&#xfe38,&#xFE38,presentation form for vertical right curly bracket
&#xfe39,&#xFE39,presentation form for vertical left tortoise shell bracket
&#xfe3a,&#xFE3A,presentation form for vertical right tortoise shell bracket
&#xfe3b,&#xFE3B,presentation form for vertical left black lenticular bracket
&#xfe3c,&#xFE3C,presentation form for vertical right black lenticular bracket
&#xfe3d,&#xFE3D,presentation form for vertical left double angle bracket
&#xfe3e,&#xFE3E,presentation form for vertical right double angle bracket
&#xfe3f,&#xFE3F,presentation form for vertical left angle bracket
&#xfe40,&#xFE40,presentation form for vertical right angle bracket
&#xfe41,&#xFE41,presentation form for vertical left corner bracket
&#xfe42,&#xFE42,presentation form for vertical right corner bracket
&#xfe43,&#xFE43,presentation form for vertical left white corner bracket
&#xfe44,&#xFE44,presentation form for vertical right white corner bracket
&#xfe45,&#xFE45,sesame dot
&#xfe46,&#xFE46,white sesame dot
&#xfe49,&#xFE49,dashed overline
&#xfe4a,&#xFE4A,centreline overline
&#xfe4b,&#xFE4B,wavy overline
&#xfe4c,&#xFE4C,double wavy overline
&#xfe4d,&#xFE4D,dashed low line
&#xfe4e,&#xFE4E,centreline low line
&#xfe4f,&#xFE4F,wavy low line
&#xfe50,&#xFE50,small comma
&#xfe51,&#xFE51,small ideographic comma
&#xfe52,&#xFE52,small full stop
&#xfe54,&#xFE54,small semicolon
&#xfe55,&#xFE55,small colon
&#xfe56,&#xFE56,small question mark
&#xfe57,&#xFE57,small exclamation mark
&#xfe58,&#xFE58,small em dash
&#xfe59,&#xFE59,small left parenthesis
&#xfe5a,&#xFE5A,small right parenthesis
&#xfe5b,&#xFE5B,small left curly bracket
&#xfe5c,&#xFE5C,small right curly bracket
&#xfe5d,&#xFE5D,small left tortoise shell bracket
&#xfe5e,&#xFE5E,small right tortoise shell bracket
&#xfe5f,&#xFE5F,small number sign
